149,2,1,2019,LOKSABHA,,
150,44,1,2019,LOKSABHA,,
151,6,2,2019,LOKSABHA,,
152,14,1,2019,LOKSABHA,,
153,9,2,2019,LOKSABHA,,
154,2,1,2024,LOKSABHA,,
155,44,1,2024,LOKSABHA,,
156,79,1,2024,LOKSABHA,,
157,6,2,2024,LOKSABHA,,
158,1,1,2024,LOKSABHA,,
159,3,3,2011,ASSEMBLY,,
160,5,2,2011,ASSEMBLY,,
161,2,1,2011,ASSEMBLY,,
162,1,1,2011,ASSEMBLY,,
163,3,3,2016,ASSEMBLY,,
164,4,3,2016,ASSEMBLY,,
165,5,2,2016,ASSEMBLY,,
166,1,1,2016,ASSEMBLY,,
167,4,3,2021,ASSEMBLY,,
168,3,3,2021,ASSEMBLY,,
169,5,2,2021,ASSEMBLY,,
170,2,1,2021,ASSEMBLY,,
171,1,1,2021,ASSEMBLY,,
172,90,5,2021,ASSEMBLY,,
173,6,2,2011,ASSEMBLY,,
174,16,1,2011,ASSEMBLY,,
175,79,2,2011,ASSEMBLY,,
176,91,5,2021,ASSEMBLY,,
177,6,2,2016,ASSEMBLY,,
178,6,2,2021,ASSEMBLY,,
179,16,1,2016,ASSEMBLY,,
180,16,1,2021,ASSEMBLY,,
181,92,5,2016,ASSEMBLY,,
182,2,1,2016,ASSEMBLY,,
183,12,2,2021,ASSEMBLY,,
184,79,2,2016,ASSEMBLY,,
185,49,2,2016,ASSEMBLY,,
186,19,1,2016,ASSEMBLY,,
187,93,5,2021,ASSEMBLY,,
188,79,1,2021,ASSEMBLY,,
189,19,1,2021,ASSEMBLY,,
190,9,2,2021,ASSEMBLY,,
191,19,1,2011,ASSEMBLY,,
192,80,2,2011,ASSEMBLY,,
